"file","si","ti","content_type"
"164_2.0_slowmo2.json","23.07","7.621","slow motion"
"165_2.0_slowmo2.json","15.28","1.325","slow motion"
"166_5.0_slowmo2.json","41.978","15.537","slow motion"
"167_5.0_slowmo2.json","17.197","4.452","slow motion"
"168_2.0_slowmo2.json","27.094","6.694","slow motion"
"169_2.0_slowmo2.json","55.803","5.292","slow motion"
"171_2.0_slowmo2.json","37.49","6.412","slow motion"
"172_2.0_slowmo2.json","39.285","4.499","slow motion"
"173_5.0_slowmo2.json","26.668","2.852","slow motion"
"174_5.0_slowmo2.json","28.729","17.171","slow motion"
"2.0_4phreal_widoki003.json","108.581","21.643","nature"
"2.0_4phreal_widoki004.json","82.526","17.201","nature"
"2.0_4phreal_widoki10.json","84.998","19.781","nature"
"2.0_4phreal_widoki11.json","55.837","8.618","nature"
"2.0_4phreal_widoki17.json","96.17","25.27","nature"
"2.0_4phreal_widoki18.json","98.091","22.701","nature"
"2.0_4phreal_widoki22.json","60.392","8.293","nature"
"2.0_4phreal_widoki23.json","75.732","14.698","nature"
"2.0_4phreal_widoki28.json","60.392","8.293","nature"
"2.0_4phreal_widoki29.json","75.732","14.698","nature"
"2.0_4phreal_widoki30.json","48.599","5.385","nature"
"2.0_4phreal_widoki31.json","133.092","17.83","nature"
"2.0_4phreal_widoki32.json","135.196","29.145","nature"
"2.0_4phreal_widoki33.json","70.921","15.62","nature"
"2.0_4phreal_widoki34.json","85.166","15.991","nature"
"2.0_4phreal_widoki35.json","46.073","8.207","nature"
"2.0_4phreal_widoki40.json","81.408","14.343","nature"
"2.0_4phreal_widoki41.json","44.202","5.667","nature"
"2.0_4phreal_widoki42.json","77.416","17.322","nature"
"2.0_4phreal_widoki43.json","97.354","23.341","nature"
"2.0_4phreal_widoki56.json","99.885","26.753","nature"
"2.0_4phreal_widoki57.json","96.105","16.916","nature"
"2.0_4phreal_widoki58.json","125.258","19.711","nature"
"2.0_4phreal_widoki59.json","119.581","31.357","nature"
"2.0_4phreal_widoki60.json","63.411","15.551","nature"
"2.0_4phreal_widoki61.json","75.138","16.075","nature"
"2.0_4phreal_widoki64.json","82.79","9.237","nature"
"2.0_4phreal_widoki65.json","106.955","17.223","nature"
"2.0_4phreal_widoki66.json","89.678","20.333","nature"
"2.0_4phreal_widoki67.json","73.888","19.811","nature"
"2.0_4phreal_widoki68.json","107.839","21.684","nature"
"2.0_4phreal_widoki69.json","67.881","8.016","nature"
"2.0_4phreal_widoki70.json","92.996","18.134","nature"
"2.0_4phreal_widoki71.json","68.229","20.314","nature"
"2.0_4phreal_widoki72.json","84.638","25.542","nature"
"2.0_4phreal_widoki73.json","91.53","17.653","nature"
"2.0_4phreal_widoki74.json","85.343","13.582","nature"
"2.0_4phreal_widoki75.json","65.664","15.655","nature"
"2.0_slowmo2_145n.json","23.259","6.773","slow motion"
"4.0_4phreal_widoki44.json","85.806","13.343","nature"
"4.0_4phreal_widoki45.json","110.625","24.908","nature"
"4.0_4phreal_widoki46.json","81.162","14.754","nature"
"4.0_4phreal_widoki47.json","90.152","19.663","nature"
"4.0_4phreal_widoki48.json","74.712","15.308","nature"
"4.0_4phreal_widoki49.json","109.515","14.872","nature"
"4.0_4phreal_widoki50.json","83.146","20.865","nature"
"4.0_4phreal_widoki51.json","78.595","16.183","nature"
"4.0_4phreal_widoki52.json","57.582","13.588","nature"
"4.0_4phreal_widoki53.json","43.755","6.76","nature"
"4.0_4phreal_widoki54.json","72.992","18.02","nature"
"4.0_4phreal_widoki55.json","66.105","16.777","nature"
"4.0_4phreal_widoki76.json","114.649","21.688","nature"
"4.0_4phreal_widoki77.json","116.839","26.083","nature"
"4.0_4phreal_widoki78.json","68.789","18.887","nature"
"4.0_4phreal_widoki79.json","76.148","14.711","nature"
"4.0_4phreal_widoki80.json","68.97","14.852","nature"
"4.0_4phreal_widoki81.json","108.903","21.598","nature"
"4.0_slowmo2_113n.json","26.274","6.937","slow motion"
"5.0_4phreal_widoki001.json","75.233","14.518","nature"
"5.0_4phreal_widoki002.json","77.866","14.61","nature"
"5.0_4phreal_widoki005.json","78.016","15.811","nature"
"5.0_4phreal_widoki006.json","86.847","20.122","nature"
"5.0_4phreal_widoki08.json","56.516","11.096","nature"
"5.0_4phreal_widoki09.json","93.256","24.847","nature"
"5.0_4phreal_widoki12.json","57.006","13.909","nature"
"5.0_4phreal_widoki13.json","103.417","23.67","nature"
"5.0_4phreal_widoki15.json","70.571","17.981","nature"
"5.0_4phreal_widoki16.json","82.948","15.873","nature"
"5.0_4phreal_widoki19.json","90.631","20.516","nature"
"5.0_4phreal_widoki20.json","83.579","10.738","nature"
"5.0_4phreal_widoki24.json","48.599","5.385","nature"
"5.0_4phreal_widoki25.json","133.092","17.83","nature"
"5.0_4phreal_widoki26.json","135.196","29.145","nature"
"5.0_4phreal_widoki27.json","70.921","15.62","nature"
"5.0_4phreal_widoki36.json","63.278","11.47","nature"
"5.0_4phreal_widoki37.json","51.069","14.783","nature"
"5.0_4phreal_widoki38.json","21.82","3.532","nature"
"5.0_4phreal_widoki39.json","35.365","3.357","nature"
"5.0_4phreal_widoki62.json","93.396","22.943","nature"
"5.0_4phreal_widoki63.json","84.213","18.385","nature"
"5.0_slowmo2_136nn.json","49.811","10.64","slow motion"
"5.0_slowmo2_139nn.json","38.609","4.994","slow motion"
"5.0_slowmo2_175nn.json","48.935","5.801","slow motion"
"5.0_slowmo2_176.json","43.751","11.797","slow motion"
